,load,alloc,reward,sigma,event_start_time,event_end_time,num_events,num_successes
1697586896.2962663,12.925455093383789,3.0,0.0,0.5,1697586896.2962663,1697586908.2107408,119.0,0.0
1697586910.3700368,18.113922119140625,3.0,0.043478261679410934,0.5,1697586910.3700368,1697586929.4161613,138.0,6.0
1697586930.1593516,16.22764015197754,3.0,0.03846153989434242,0.5,1697586930.1593516,1697586951.789115,130.0,5.0
1697586952.0758836,16.799461364746094,3.0,0.04511278122663498,0.5,1697586952.0758836,1697586970.7074335,133.0,6.0
1697586970.9613647,16.45553970336914,3.0,0.038167938590049744,0.5,1697586970.9613647,1697586991.866179,131.0,5.0
1697586992.1412377,17.488388061523438,3.0,0.04411764815449715,0.5,1697586992.1412377,1697587015.1850986,136.0,6.0
1697587015.4318619,15.829717636108398,3.0,0.043795619159936905,0.5,1697587015.4318619,1697587036.7841067,137.0,6.0
1697587037.0436165,15.614705085754395,3.0,0.04511278122663498,0.5,1697587037.0436165,1697587056.0641487,133.0,6.0
1697587056.4628172,15.645668029785156,3.0,0.04580152779817581,0.5,1697587056.4628172,1697587075.8931162,131.0,6.0
1697587076.4886374,15.436360359191895,3.0,0.04411764815449715,0.5,1697587076.4886374,1697587099.162376,136.0,6.0
1697587099.4905815,15.352319717407227,3.0,0.023255813866853714,0.5,1697587099.4905815,1697587120.3994744,129.0,3.0
1697587120.8874347,16.307140350341797,3.0,0.043478261679410934,0.5,1697587120.8874347,1697587141.062646,138.0,6.0
1697587141.6482027,17.845300674438477,3.0,0.04411764815449715,0.5,1697587141.6482027,1697587163.950994,136.0,6.0
1697587165.238425,18.658357620239258,3.0,0.04477611929178238,0.5,1697587165.238425,1697587187.641255,134.0,6.0
1697587210.236528,14.694564819335938,5.0,0.028708133846521378,0.48911598324775696,1697587210.236528,1697587227.9981976,209.0,6.0
1697587228.3402612,15.896586418151855,5.0,0.04545454680919647,0.4767313003540039,1697587228.3402612,1697587251.3011653,220.0,10.0
1697587251.6228206,16.437776565551758,5.0,0.0393013097345829,0.46726930141448975,1697587251.6228206,1697587277.7820761,229.0,9.0
1697587278.2500083,16.713537216186523,5.0,0.04583333432674408,0.4564354717731476,1697587278.2500083,1697587305.5931122,240.0,11.0
1697587305.890581,15.79832935333252,5.0,0.7160493731498718,0.5,1697587305.890581,1697587316.841106,162.0,116.0
1697587317.1342714,17.831867218017578,5.0,0.05263157933950424,0.46829289197921753,1697587317.1342714,1697587336.4816566,228.0,12.0
1697587337.2191448,18.315589904785156,5.0,0.04782608523964882,0.4662524163722992,1697587337.2191448,1697587365.5010636,230.0,11.0
1697587692.9243267,12.862465858459473,1.0,0.14457830786705017,0.5,1697587692.9243267,1697587704.8971477,83.0,12.0
1697587705.984312,17.427358627319336,1.0,0.05681818351149559,0.5,1697587705.984312,1697587722.9691007,88.0,5.0
1697587723.2051585,14.862521171569824,1.0,0.05882352963089943,0.5,1697587723.2051585,1697587740.0932755,85.0,5.0
1697587740.4896455,17.447994232177734,1.0,0.058139536529779434,0.5,1697587740.4896455,1697587757.2250926,86.0,5.0
1697587757.4652736,17.495656967163086,1.0,0.058139536529779434,0.5,1697587757.4652736,1697587775.2411134,86.0,5.0
1697587775.5128665,16.66439437866211,1.0,0.07500000298023224,0.5,1697587775.5128665,1697587793.155272,80.0,6.0
1697587793.836597,17.287372589111328,1.0,0.0595238097012043,0.5,1697587793.836597,1697587810.1490817,84.0,5.0
1697587810.5294192,15.945844650268555,1.0,0.07058823853731155,0.5,1697587810.5294192,1697587827.0227444,85.0,6.0
1697587846.2425025,17.041316986083984,1.0,0.058139536529779434,0.5,1697587846.2425025,1697587860.6193259,86.0,5.0
1697587860.9503481,15.714428901672363,1.0,0.07058823853731155,0.5,1697587860.9503481,1697587879.34109,85.0,6.0
1697587879.6505492,14.399397850036621,1.0,0.05747126415371895,0.5,1697587879.6505492,1697587897.7068603,87.0,5.0
1697587898.4928498,15.46500301361084,1.0,0.05747126415371895,0.5,1697587898.4928498,1697587913.8177738,87.0,5.0
1697587914.7912798,17.09282684326172,1.0,0.060975611209869385,0.5,1697587914.7912798,1697587933.3370714,82.0,5.0
1697587933.572051,18.175350189208984,1.0,0.07058823853731155,0.5,1697587933.572051,1697587950.2980006,85.0,6.0
1697587950.7094202,15.897163391113281,1.0,0.05747126415371895,0.5,1697587950.7094202,1697587968.637147,87.0,5.0
1697587969.0148606,19.2327938079834,1.0,0.05747126415371895,0.5,1697587969.0148606,1697587986.01707,87.0,5.0
